sku,design_family,design_name,status,matched_tags,approved_tags
"AFGFMS0691","AFMS0691","5 O'clock Flamingo",updated,"5-O-Clock-Somewhere | Party-Time","5-O-Clock-Somewhere | Beach | Beaches-Nautical | Birds | Flamingos | Party-Time | Seasonal | Summer | Tropical"
"AFHFMS0691","AFMS0691","5 O'clock Flamingo",updated,"5-O-Clock-Somewhere | Party-Time","5-O-Clock-Somewhere | Beach | Beaches-Nautical | Birds | Flamingos | Party-Time | Seasonal | Summer | Tropical"
"AFGFMS0692","AFMS0692","Toadaly Relaxed",updated,"Beer | Party-Time","Aquatic-Life | Beer | Flowers | Frogs | Great-Outdoors | Lakes | Party-Time | Pets-Animals"
"AFHFMS0692","AFMS0692","Toadaly Relaxed",updated,"Beer | Party-Time","Aquatic-Life | Beer | Flowers | Frogs | Great-Outdoors | Lakes | Party-Time | Pets-Animals"
"AFGFMS0706","AFMS0706","Tropical Parrots Cocktail Hour",updated,"5-O-Clock-Somewhere | Party-Time | Wine-Drinks","5-O-Clock-Somewhere | Birds | Food-Wine | Parrots | Party-Time | Summer | Tropical | Wine-Drinks"
"AFHFMS0706","AFMS0706","Tropical Parrots Cocktail Hour",updated,"5-O-Clock-Somewhere | Party-Time | Wine-Drinks","5-O-Clock-Somewhere | Birds | Food-Wine | Parrots | Party-Time | Summer | Tropical | Wine-Drinks"
"AFGFMS0707","AFMS0707","Beachfront Happy Hour Cocktails",updated,"5-O-Clock-Somewhere | Party-Time | Wine-Drinks","5-O-Clock-Somewhere | Party-Time | Summer | Wine-Drinks"
"AFHFMS0707","AFMS0707","Beachfront Happy Hour Cocktails",updated,"5-O-Clock-Somewhere | Party-Time | Wine-Drinks","5-O-Clock-Somewhere | Party-Time | Summer | Wine-Drinks"
"AFGFMS0779","AFMS0779","Coffee and Books",updated,"Wine-Drinks","Coffee | Summer | Wine-Drinks"
"AFHFMS0779","AFMS0779","Coffee and Books",updated,"Wine-Drinks","Coffee | Summer | Wine-Drinks"
